CID,Status,CAmt,Location
1,Under Review,1409,NYC
2,Under Review,3025,Pune
3,Approved,1638,Lucknow
4,Under Review,1097,NYC
5,Approved,4030,Lucknow
6,Approved,2620,Delhi
7,Declined,1640,Ayodhya
8,Approved,1280,Lucknow
9,Approved,1070,Delhi
10,Approved,3957,Pune
11,Declined,4069,NYC
12,Approved,4645,Lucknow
13,Declined,1745,Lucknow
14,Approved,3184,Pune
15,Under Review,4826,Pune
16,Declined,1940,NYC
17,Under Review,4058,Mumbai
18,Declined,1906,NYC
19,Declined,2024,Delhi
20,Under Review,4818,NYC
21,Declined,2611,NYC
22,Under Review,1832,Mumbai
23,Approved,3468,Delhi
24,Declined,4044,Mumbai
25,Under Review,1440,Delhi
26,Declined,1287,Delhi
27,Declined,1319,Mumbai
28,Approved,2373,Lucknow
29,Approved,4371,Delhi
30,Declined,2917,Delhi
31,Declined,2502,Pune
32,Approved,4769,Pune
33,Approved,4268,NYC
34,Declined,4455,Delhi
35,Approved,1833,Ayodhya
36,Declined,3319,Ayodhya
37,Declined,4431,Lucknow
38,Under Review,1167,NYC
39,Declined,3914,NYC
40,Under Review,4660,Pune
41,Approved,3014,Mumbai
42,Under Review,2312,Mumbai
43,Approved,1913,Delhi
44,Approved,1290,Ayodhya
45,Approved,3208,Pune
46,Approved,3140,Delhi
47,Under Review,1309,Ayodhya
48,Approved,4393,Lucknow
49,Under Review,2300,Delhi
50,Declined,1096,Lucknow
51,Under Review,2088,Ayodhya
52,Under Review,2950,Ayodhya
53,Approved,3052,Mumbai
54,Declined,2082,Mumbai
55,Under Review,2828,Pune
56,Under Review,2007,Delhi
57,Approved,2935,Mumbai
58,Approved,2022,Pune
59,Declined,4983,Lucknow
60,Approved,1800,Mumbai
61,Declined,4693,Ayodhya
62,Under Review,4478,Delhi
63,Approved,3510,Lucknow
64,Under Review,2967,Delhi
65,Declined,2277,NYC
66,Approved,2665,Ayodhya
67,Approved,3003,NYC
68,Approved,2324,Delhi
69,Approved,2147,Lucknow
70,Declined,2809,Delhi
71,Declined,2173,Delhi
72,Approved,1907,Lucknow
73,Under Review,4022,NYC
74,Approved,4476,Lucknow
75,Declined,4772,Mumbai
76,Declined,1686,Delhi
77,Declined,3019,NYC
78,Declined,3235,Lucknow
79,Under Review,3310,Delhi
80,Under Review,1186,Lucknow
81,Under Review,4767,Lucknow
82,Declined,3635,Delhi
83,Under Review,4423,Ayodhya
84,Declined,3102,NYC
85,Under Review,4724,Lucknow
86,Approved,2250,Mumbai
87,Declined,3487,Lucknow
88,Under Review,3782,Lucknow
89,Approved,1424,Lucknow
90,Under Review,3099,Mumbai
91,Declined,4098,NYC
92,Under Review,2418,Lucknow
93,Under Review,1570,Ayodhya
94,Under Review,3588,Ayodhya
95,Declined,2463,Delhi
96,Approved,3804,Delhi
97,Declined,4009,Lucknow
98,Under Review,2116,Lucknow
99,Approved,1412,Lucknow
100,Under Review,4807,Mumbai
101,Under Review,4720,NYC
102,Under Review,2690,Pune
103,Under Review,1000,Ayodhya
104,Declined,3080,Ayodhya
105,Approved,2854,NYC
106,Approved,1901,Lucknow
107,Approved,3685,Pune
108,Approved,2247,Pune
109,Approved,4310,NYC
110,Under Review,4405,Lucknow
111,Under Review,2500,Delhi
112,Under Review,4240,Ayodhya
113,Declined,3367,NYC
114,Under Review,3169,NYC
115,Declined,1874,Lucknow
116,Declined,3650,Ayodhya
117,Declined,3179,Pune
118,Declined,2852,Mumbai
119,Declined,2712,Pune
120,Under Review,2468,Ayodhya
121,Approved,2974,Pune
122,Approved,2096,Mumbai
123,Approved,4749,Lucknow
124,Under Review,4916,Mumbai
125,Declined,1724,Pune
126,Approved,3064,Lucknow
127,Under Review,2658,Lucknow
128,Under Review,1734,Mumbai
129,Approved,2779,Delhi
130,Under Review,4866,Ayodhya
131,Declined,4350,Delhi
132,Under Review,4687,Ayodhya
133,Under Review,2783,Delhi
134,Declined,4435,Pune
135,Under Review,2096,Ayodhya
136,Declined,2906,Delhi
137,Declined,2912,Pune
138,Declined,4032,Lucknow
139,Approved,4480,Pune
140,Declined,2866,Mumbai
141,Approved,4452,Lucknow
142,Declined,1101,Mumbai
143,Under Review,4621,Lucknow
144,Declined,1067,Delhi
145,Approved,4416,Lucknow
146,Approved,2819,Pune
147,Under Review,3400,Ayodhya
148,Declined,2227,Lucknow
149,Declined,2711,Delhi
150,Under Review,2847,NYC
151,Declined,3336,Pune
152,Approved,4975,NYC
153,Approved,3736,Ayodhya
154,Declined,2592,Mumbai
155,Under Review,3140,Lucknow
156,Declined,4194,Mumbai
157,Under Review,4867,Lucknow
158,Declined,4569,Mumbai
159,Approved,2727,Delhi
160,Declined,3808,Delhi
161,Approved,4837,Pune
162,Under Review,2653,Pune
163,Under Review,2989,Mumbai
164,Under Review,4906,Lucknow
165,Declined,3914,Lucknow
166,Under Review,3586,Mumbai
167,Under Review,1561,NYC
168,Under Review,2653,Lucknow
169,Approved,1815,Ayodhya
170,Under Review,1324,Pune
171,Approved,1436,NYC
172,Under Review,1195,Pune
173,Approved,3461,Pune
174,Declined,3234,Delhi
175,Declined,2558,Ayodhya
176,Under Review,3058,Lucknow
177,Under Review,3645,Ayodhya
178,Approved,1959,Mumbai
179,Declined,2126,NYC
180,Under Review,4503,NYC
181,Declined,4485,Pune
182,Under Review,2261,Lucknow
183,Approved,3523,Delhi
184,Approved,1311,NYC
185,Approved,2470,Mumbai
186,Declined,1305,Pune
187,Under Review,4548,Mumbai
188,Under Review,1588,NYC
189,Declined,3361,Pune
190,Under Review,2933,Delhi
191,Under Review,2456,Mumbai
192,Declined,1878,Ayodhya
193,Under Review,3976,Delhi
194,Approved,2649,Lucknow
195,Under Review,3936,Ayodhya
196,Declined,1020,Ayodhya
197,Approved,1564,Delhi
198,Declined,4903,Mumbai
199,Under Review,1137,Lucknow
200,Declined,2834,NYC
201,Approved,1591,NYC
202,Declined,1680,NYC
203,Under Review,2787,Delhi
204,Under Review,4544,Lucknow
205,Under Review,3764,Lucknow
206,Approved,1391,Pune
207,Approved,4520,Mumbai
208,Declined,3209,NYC
209,Approved,3729,Pune
210,Approved,1561,Ayodhya
211,Under Review,2076,Pune
212,Declined,4273,Lucknow
213,Declined,2280,Pune
214,Declined,4338,Lucknow
215,Approved,3401,Ayodhya
216,Declined,4122,Pune
217,Approved,1670,Delhi
218,Declined,4433,NYC
219,Under Review,1369,Ayodhya
220,Declined,3759,NYC
221,Under Review,1146,Delhi
222,Approved,2358,Lucknow
223,Under Review,2540,Ayodhya
224,Approved,1207,Mumbai
225,Approved,2430,Pune
226,Declined,1773,Delhi
227,Declined,1137,Lucknow
228,Approved,2412,Lucknow
229,Under Review,4042,Lucknow
230,Declined,1559,Mumbai
231,Approved,3637,Pune
232,Declined,3235,Ayodhya
233,Declined,4364,NYC
234,Approved,2712,Delhi
235,Declined,4616,Mumbai
236,Under Review,4847,Pune
237,Under Review,4824,Mumbai
238,Declined,4819,Mumbai
239,Approved,3257,Mumbai
240,Declined,3299,NYC
241,Under Review,2086,Delhi
